KTS	S	FD	KD	FT
21	3	0	19	19
24	35	0	4	4
26	17	0	17	17
28	11	0	21	21
29	9	0	23	23
29	19	0	19	19
31	4	0	28	28
33	2	0	31	31
37	36	6	10	16
39	15	0	30	30
41	10	0	34	34
42	30	0	24	24
42	13	0	35	35
43	49	0	14	14
44	69	0	4	4
48	50	15	3	18
49	14	5	36	41
50	44	3	20	23
51	57	0	19	19
51	7	0	47	47
51	55	19	0	19
52	29	0	35	35
53	31	0	35	35
54	27	0	38	38
57	23	0	44	44
57	6	0	53	53
57	59	0	25	25
58	58	20	6	26
59	52	18	10	28
59	67	21	0	21
60	68	21	0	21
61	89	0	6	6
63	82	12	2	14
64	70	0	23	23
65	87	0	12	12
65	51	0	34	34
68	37	0	46	46
69	32	46	5	51
69	20	55	3	58
70	72	0	29	29
70	41	3	42	45
71	64	0	34	34
71	39	32	16	48
72	22	58	2	60
76	73	0	34	34
76	43	36	13	49
76	25	57	5	62
76	28	57	3	60
77	16	43	25	68
77	42	51	0	51
78	53	46	0	46
79	63	43	0	43
82	54	46	4	50
84	71	0	43	43
84	56	40	12	52
86	88	17	15	32
88	60	51	4	55
89	83	0	39	39
93	117	0	25	25
95	136	0	18	18
95	38	54	18	72
96	112	0	32	32
96	74	37	16	53
97	99	0	39	39
98	115	0	32	32
99	78	32	20	52
100	98	30	13	43
100	80	52	0	52
101	106	0	39	39
101	107	35	3	38
106	116	6	33	39
111	148	0	27	27
111	95	45	9	54
112	113	39	9	48
113	149	0	28	28
114	133	37	2	39
114	204	39	31	70
115	100	56	0	56
116	121	37	9	46
120	123	48	1	49
121	161	0	33	33
121	138	0	43	43
121	132	27	19	46
122	18	0	112	112
123	142	0	41	41
123	26	108	0	108
124	146	21	20	41
124	34	104	0	104
125	40	101	0	101
126	184	18	9	27
126	46	99	0	99
127	170	0	34	34
127	76	82	0	82
128	124	56	0	56
128	204	71	0	71
129	163	36	4	40
129	126	55	0	55
130	171	6	31	37
130	125	56	1	57
131	160	6	37	43
131	140	50	1	51
134	143	49	3	52
134	144	49	2	51
135	152	49	0	49
136	162	48	0	48
137	166	45	0	45
143	181	0	45	45
144	193	0	40	40
145	178	47	1	48
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
200  	200  	200  	200  	
R1_Distance	R2_Distance	R3_Distance	R4_Distanc
2		2		2		2		
Game Is Loss
Total Killed Enemies	= 109
Total Alive Enemies	= 81
Average Fight Delay	= 0
Average Kill Delay	= 0
