KTS	S	FD	KD	FT
7	1	0	6	6
10	14	0	2	2
14	17	0	5	5
18	3	0	16	16
24	35	0	4	4
26	19	0	16	16
29	2	0	27	27
31	36	0	10	10
34	50	0	4	4
38	44	0	11	11
39	55	7	0	7
44	69	0	4	4
45	67	7	0	7
47	68	7	1	8
50	52	4	15	19
56	10	0	49	49
57	59	0	25	25
59	84	0	8	8
60	13	0	53	53
61	70	0	20	20
61	89	0	6	6
63	15	0	54	54
64	73	0	22	22
64	64	0	27	27
64	81	0	15	15
65	72	0	24	24
65	51	0	34	34
65	29	0	48	48
65	31	0	47	47
66	30	0	48	48
67	27	0	51	51
68	23	0	55	55
69	39	0	46	46
69	49	8	32	40
70	57	0	38	38
70	9	0	64	64
70	37	0	48	48
70	71	0	29	29
70	41	3	42	45
72	83	0	22	22
72	56	6	34	40
73	7	0	69	69
73	43	0	46	46
75	78	0	28	28
75	60	0	42	42
75	6	0	71	71
75	32	55	2	57
76	87	18	5	23
76	80	28	0	28
78	117	0	10	10
78	88	12	12	24
79	133	0	4	4
79	107	13	3	16
80	4	0	77	77
80	91	4	20	24
81	98	16	8	24
82	11	74	1	75
84	99	0	26	26
85	95	20	8	28
87	106	0	25	25
87	113	18	5	23
88	136	0	11	11
90	116	4	19	23
91	26	76	0	76
93	121	12	11	23
94	123	21	2	23
95	171	0	2	2
98	132	5	18	23
100	163	0	11	11
102	138	0	24	24
104	146	3	18	21
105	148	0	21	21
107	149	0	22	22
111	142	0	29	29
111	184	4	8	12
112	161	0	24	24
112	160	0	24	24
112	112	0	48	48
112	34	72	20	92
115	115	0	49	49
117	170	0	24	24
119	175	0	25	25
120	178	2	21	23
121	181	0	23	23
124	185	0	25	25
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
200  	200  	200  	200  	
R1_Distance	R2_Distance	R3_Distance	R4_Distanc
2		2		2		2		
Game Is Loss
Total Killed Enemies	= 85
Total Alive Enemies	= 115
Average Fight Delay	= 0
Average Kill Delay	= 0
